﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Louis93,https://forums.hardwarezone.com.sg/members/louis93.748150/,Junior Member,"Mar 19, 2019",Hey A little Help here please . Would like to know if my sale of balance flat choosing of location has been approved .. next step is for the unit selection . Isit possible if i want to change the location instead ?.
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,ssian84,https://forums.hardwarezone.com.sg/members/ssian84.195360/,Master Member,"Mar 20, 2019","Change location would be giving up current exercise and you have to apply in next exercise.
You will receive letter or check your account?
You should be receiving email

Louis93 said:
Hey A little Help here please . Would like to know if my sale of balance flat choosing of location has been approved .. next step is for the unit selection . Isit possible if i want to change the location instead ?."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,ngufree,https://forums.hardwarezone.com.sg/members/ngufree.230791/,Supremacy Member,"Mar 28, 2019","Hi guys, got a quick question, first time looking at BTO and everything here.

I am looking at Kallang/Whampoa (mature town) selling price including grants, $518k.

http://esales.hdb.gov.sg/bp25/launch/19feb/bto/19FEBBTO_page_6280/$file/about0.html

1) Am I right to say that they assumed the minimum grant available ($5k) under AHG for those with combined income ceiling of $5k, and they deduct from $523k?

2) Also, if I am eligible for additional grants, like PHG ($20k), do I further deduct $20k from $518k?, and then work out my down payment, and HDB loan amount from there?

3) Do the above calculations work for resale flats too?

Thanks in advance!"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Peasantboy,https://forums.hardwarezone.com.sg/members/peasantboy.749182/,Master Member,"Apr 17, 2019","The grants can be used for the downpayment (e.g. HDB loan means 10% downpayment) then if you wish to take a smaller loan and pay off more, you can use your CPF OA and cash.

Just fyi, PHG is only for resale flats.

ngufree said:
Hi guys, got a quick question, first time looking at BTO and everything here.

I am looking at Kallang/Whampoa (mature town) selling price including grants, $518k.

1) Am I right to say that they assumed the minimum grant available ($5k) under AHG for those with combined income ceiling of $5k, and they deduct from $523k?

2) Also, if I am eligible for additional grants, like PHG ($20k), do I further deduct $20k from $518k?, and then work out my down payment, and HDB loan amount from there?

3) Do the above calculations work for resale flats too?

Thanks in advance!
Click to expand..."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,8zaoyu,https://forums.hardwarezone.com.sg/members/8zaoyu.725827/,Senior Member,"Apr 17, 2019","If you intent to buy a >$500k flat at Kallang, I think it's probably for a good unit (high floor) of a 3-room flat only and dependent on a good queue number. The 4-room BTO in this mature estate (SHG not applicable) costs up to $674k!(What is this future family going to feed on if earning below $5K which is the max. household income for getting a $5k AHG) For this price, you can get 4 -room resale in District 12 with a $20k proximity grant (to be sunk into your CPFs later upon selling of flat with interest)"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,ecstatic,https://forums.hardwarezone.com.sg/members/ecstatic.694734/,Member,"Apr 29, 2019","Hi, I'm getting a resale unit with my mom.
I'm a first timer while my mom has purchased house twice with my late dad.

I was told I'm m not entitled to any grants"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Propertee,https://forums.hardwarezone.com.sg/members/propertee.751078/,Junior Member,"Apr 29, 2019","Hello Yihao93,

Yes, that is true, at least of you must be working >12 months to have your combined income assessed. Hope this helps"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Propertee,https://forums.hardwarezone.com.sg/members/propertee.751078/,Junior Member,"Apr 29, 2019","ecstatic said:
Hi, I'm getting a resale unit with my mom.
I'm a first timer while my mom has purchased house twice with my late dad.

I was told I'm m not entitled to any grants
Hello Ecstatic,

Since the previous flats were under your mum's name, I believe that she will not qualify for any first time grants. However, if the incoming resale flat is under your name, you will need to fulfil some criteria in order to qualify for the grants. e.g at least of 35 years old. I have seen this on Carousell's blog and I thought it might be of great help! > https://blog.carousell.com/property/hdb-resale-flat-singapore-grants/[/QUOTE]"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Nbnbna,https://forums.hardwarezone.com.sg/members/nbnbna.742931/,Junior Member,"May 14, 2019","xiaozhi86 said:
just to check, i just know my hdb grant. i got housing grant 50k but additional housing grant only 15k which is too low because i only earn 3.5k but my wife has not been working for more then 1 year and i have a 7 month old son. So i'm wondering why my additional housing grant is not 35k as i believe my average monthly income should be 3.5k / 2 ?

Hi I would like to clarify with you. For the housing grant if we are eligible we sure will get? Cos I'm also earning around 3500 - 3800. Wife is housewive so no income for her. For me the housing grant means alot. Thank you."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,psychosoccer,https://forums.hardwarezone.com.sg/members/psychosoccer.697751/,Junior Member,"May 20, 2019","Nbnbna said:
Hi I would like to clarify with you. For the housing grant if we are eligible we sure will get? Cos I'm also earning around 3500 - 3800. Wife is housewive so no income for her. For me the housing grant means alot. Thank you.

If you fulfill all the requirements, i don’t see why hdb will not approve your AHG and SHG. Based on your income, your AHG should be 15k as you fall in the $3501 - $4000 bracket. The average income refers to total household income (you + your spouse) for past 12 months from application date divide by 12 months. Hope it clarifies."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Nbnbna,https://forums.hardwarezone.com.sg/members/nbnbna.742931/,Junior Member,"May 22, 2019","psychosoccer said:
If you fulfill all the requirements, i don’t see why hdb will not approve your AHG and SHG. Based on your income, your AHG should be 15k as you fall in the $3501 - $4000 bracket. The average income refers to total household income (you + your spouse) for past 12 months from application date divide by 12 months. Hope it clarifies.

Understood! Thank you for the clarification!"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,20LEGEND,https://forums.hardwarezone.com.sg/members/20legend.750451/,Senior Member,"Jun 4, 2019",thanks for sharing your resources guys. very helpful cos i will be in the market for a BTO soon.
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,ahungrypolarbear,https://forums.hardwarezone.com.sg/members/ahungrypolarbear.669385/,Member,"Jun 6, 2019","regarding the AHG and SHG grant, the average monthly household income over 12 months is referring to me and my spouse?

and also the the calculation is it:

(my monthly salary x 12 + my spouse monthly salary x12 ) / 12

where

monthly salary is the gross salary without incentives, allowance and also 13th month AWS?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,0x0011,https://forums.hardwarezone.com.sg/members/0x0011.697434/,Member,"Jun 16, 2019","Aspiringparamedic said:
First half paid when you sign the Agreement for lease which is usually 4 months of booking a flat.

Remaining amount is paid during key collection.

Hope that helps.

Does this applies to everyone? I thought only couples below 30 can pay half half? Can we also use grants to pay for the deposit?
Posted with HardwareZone Forums app"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,0x0bzzz,https://forums.hardwarezone.com.sg/members/0x0bzzz.754972/,Member,"Jun 24, 2019","So if 1st timer, married, above 5k combined and buying in mature estate = no grant?
Posted with HardwareZone Forums app"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,xiaozhi86,https://forums.hardwarezone.com.sg/members/xiaozhi86.124771/,Supremacy Member,"Jun 19, 2018","just to check, i just know my hdb grant. i got housing grant 50k but additional housing grant only 15k which is too low because i only earn 3.5k but my wife has not been working for more then 1 year and i have a 7 month old son. So i'm wondering why my additional housing grant is not 35k as i believe my average monthly income should be 3.5k / 2 ?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,yang_nastyman,https://forums.hardwarezone.com.sg/members/yang_nastyman.514190/,Senior Member,"Aug 19, 2018","first timer here. both my spouse and I have an income of 6k together, and we got a bid for a 5 rm flat in a non matured estate. are we at all eligible for any grant?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Rusty89,https://forums.hardwarezone.com.sg/members/rusty89.557731/,Senior Member,"Sep 3, 2018","Hi first timer here. Can I check on the application of hdb loan process? Like when do we sign the loan agreement?

After selecting the flat, I was told that there’s another appointment in 3-4 months time for the first 5% downpayment. Anyone knows usually how Long till the another 5% downpayment? Is it then that the loan agreement is signed?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Aspiringparamedic,https://forums.hardwarezone.com.sg/members/aspiringparamedic.598448/,Supremacy Member,"Sep 3, 2018","First half paid when you sign the Agreement for lease which is usually 4 months of booking a flat.

Remaining amount is paid during key collection.

Hope that helps.

Rusty89 said:
Hi first timer here. Can I check on the application of hdb loan process? Like when do we sign the loan agreement?

After selecting the flat, I was told that there’s another appointment in 3-4 months time for the first 5% downpayment. Anyone knows usually how Long till the another 5% downpayment? Is it then that the loan agreement is signed?
Beep... beep... beeeeeeeeeeep HardwareZone Forums app"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Gixxerfied,https://forums.hardwarezone.com.sg/members/gixxerfied.314530/,Greater Supremacy Member,"Sep 3, 2018",5% dp + stamp duties...
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Rusty89,https://forums.hardwarezone.com.sg/members/rusty89.557731/,Senior Member,"Sep 5, 2018","Aspiringparamedic said:
First half paid when you sign the Agreement for lease which is usually 4 months of booking a flat.

Remaining amount is paid during key collection.

Hope that helps.


Click to expand...

Thanks man. This is helpful!"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Ftwmmmm,https://forums.hardwarezone.com.sg/members/ftwmmmm.729301/,Junior Member,"Sep 13, 2018","Hi, I recently received my grant assessment letter from HDB. My fiance is a full time PHD student receiving scholarship stipend from the university, yet HDB took into account his stipend and considered our combined income to be ineligible for the AHG. We are planning to appeal for the AHG. Anyone has a similar experience or can shed some light on this? Thanks much!"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Gixxerfied,https://forums.hardwarezone.com.sg/members/gixxerfied.314530/,Greater Supremacy Member,"Sep 13, 2018","Why need to appeal?

Income/ allowance that will be considered for the income ceiling
Allowances (fixed/ variable) received on a regular basis, such as allowances for food, transport, laundry, uniform
^Sustenance Allowance
Stipend

https://www.hdb.gov.sg/cs/infoweb/residential/buying-a-flat/new/first-timer-applicants"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Adriyana,https://forums.hardwarezone.com.sg/members/adriyana.731958/,Junior Member,"Sep 27, 2018","Hi
I've been working for the past 6years, earning income is around 3k
My fiancè is unemployed due to his illness for the past 1year plus.
But he did have CPF contribuation from his previous job.

Will HLE be granted.
And will HDB look into consideration his CPF earnings."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,adinike03,https://forums.hardwarezone.com.sg/members/adinike03.733690/,Junior Member,"Oct 18, 2018","Error during resale application submission

Hi, I am trying to do a resale application online, however I am stuck at the point under Loans and Grants. After keying in all the details for the specific page, including my HLE number, I am unable to click NEXT. An error message comes up saying that ""The HLE letter cannot be used for this resale application because the Application Type indicated in the HLE letter is different"".

I don't get this, what is different? The are no given ""types"" of HLE when I was applying. Where have I gone wrong and how can I rectify this?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,yihao93,https://forums.hardwarezone.com.sg/members/yihao93.570621/,Arch-Supremacy Member,"Nov 13, 2018","Is this thread still active ?

May I know what are the grants available to a couple who is

Person a) just graduated from studies 6months ago and currently working
And person b) currently studying part time eg sim and unemployed ?

From my understanding is not eligible for any grants cause person a and b not working for >12 months and can't apply for deferred income assessment as person b not full time student.

Please advise. Thanks!"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Lala02,https://forums.hardwarezone.com.sg/members/lala02.575166/,Junior Member,"Nov 13, 2018","Weeli85 said:
To apply AHG and SHG, mention need to 12 mths continually work before the flat selection, if I change job during the 12 mths period, will affect the grants?

Anyone has any idea on this?

And also if I’m eligible for the AHG and the SHG, will I still be eligible for the proximity grants near to parents for SOBF?

Thanks!"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Iamafan,https://forums.hardwarezone.com.sg/members/iamafan.735240/,Member,"Dec 2, 2018","Lala02 said:
Anyone has any idea on this?

And also if I’m eligible for the AHG and the SHG, will I still be eligible for the proximity grants near to parents for SOBF?

Thanks!

There is no proximity grant for SBF. Only resale"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Lala02,https://forums.hardwarezone.com.sg/members/lala02.575166/,Junior Member,"Dec 20, 2018","Iamafan said:
There is no proximity grant for SBF. Only resale

Thank you very much for your kind reply..

I understand that to be eligible for the grants, I need to be employed continually for 1 year.. let say if I were to change job, but CPF contribution is continuous, for example Jan - Oct is ABC company then Nov onwards is XYZ company, but employment records is still more than a year, will it affect the grant?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Gixxerfied,https://forums.hardwarezone.com.sg/members/gixxerfied.314530/,Greater Supremacy Member,"Dec 20, 2018","Lala02 said:
Thank you very much for your kind reply..

I understand that to be eligible for the grants, I need to be employed continually for 1 year.. let say if I were to change job, but CPF contribution is continuous, for example Jan - Oct is ABC company then Nov onwards is XYZ company, but employment records is still more than a year, will it affect the grant?

Nope, no issue."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Singboy,https://forums.hardwarezone.com.sg/members/singboy.44876/,Member,"Jan 3, 2019","Hi, for the 12 months preceding bto application, I have worked 9 months with cpf contribution, 3 months in between as a freelance consultant for a Malaysia company (self employed with no acra registration) with a monthly retainer in cash(ringgit) and no cpf. Will I still fulfill the criteria for ahg / shg as it is 12 months continuous employment ? Thanks"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,vinz,https://forums.hardwarezone.com.sg/members/vinz.18872/,Master Member,"Jan 6, 2019","Singboy said:
Hi, for the 12 months preceding bto application, I have worked 9 months with cpf contribution, 3 months in between as a freelance consultant for a Malaysia company (self employed with no acra registration) with a monthly retainer in cash(ringgit) and no cpf. Will I still fulfill the criteria for ahg / shg as it is 12 months continuous employment ? Thanks
Criteria is very strict for AHG/SHG. 12 months full employment with PROOF. CPF statement is a must , with all 12 months proper payslip submitted.

Freelance, paid in ringgit cash, no CPF, i also assume no payslip.

I doubt they will take that into consideration. As mentioned, they are very strict on this two grant, and only accept proper documentation records of employment status."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Singboy,https://forums.hardwarezone.com.sg/members/singboy.44876/,Member,"Jan 7, 2019","vinz said:
Criteria is very strict for AHG/SHG. 12 months full employment with PROOF. CPF statement is a must , with all 12 months proper payslip submitted.

Freelance, paid in ringgit cash, no CPF, i also assume no payslip.

I doubt they will take that into consideration. As mentioned, they are very strict on this two grant, and only accept proper documentation records of employment status.

Thanks! With payslip and contract / letter of appointment. Sme in johor with over 10 mil annual revenue. Because was wondering if oversea work considered although based in sg"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,zencro,https://forums.hardwarezone.com.sg/members/zencro.146808/,Senior Member,"Feb 7, 2019","Hi, I have a question about the '12 months continuous employment' too.

My wife is a foreigner, so her income will not be taken into account in the HDB loan.

But her income will be taken into consideration for grants? Also, what if I as the Singapore citizen was not in continuous employment for the past 12 months but she is. Will we still qualify for AHG and SHG?

And also, if we apply with our Singaporean child, will we be eligible for the First Timer grants or is it still the Non-Citizen Spouse scheme?

Thank you!"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,frenz4ever00,https://forums.hardwarezone.com.sg/members/frenz4ever00.254815/,Junior Member,"Feb 14, 2019","Hi. Not sure if anyone has knowledge or experience.

My fiance and i are first timer and finally got BTO. We have paid the dp last year.

If i were to forgo my BTO and go with resales now which is less than 2km from my parent's home.

- will hdb forfeit my dp?
- will hdb still give us grants for resales?
- any chance to appeal for either/or?

Lastly, do we need present marraige cert within 3 months if buying resales flat? Any chance to appeal for 6 months ?

TIA!"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,AsteroidS,https://forums.hardwarezone.com.sg/members/asteroids.11721/,Arch-Supremacy Member,"Nov 7, 2017",why ec no PHG grant for staying near parents?
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Gixxerfied,https://forums.hardwarezone.com.sg/members/gixxerfied.314530/,Greater Supremacy Member,"Nov 12, 2017","Ec is new right? Bto also no phg BTW...

Phg only for resale"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,MrSinkie95,https://forums.hardwarezone.com.sg/members/mrsinkie95.651016/,Honorary Member,"Nov 20, 2017",HLE need how long approve?
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,cobragold,https://forums.hardwarezone.com.sg/members/cobragold.224562/,Senior Member,"Nov 24, 2017","Hi,
For collecting the keys, you need to be married or can you produce the marriage cert within 3 months. In the old system you have a 3 months period before you have to give HDB proof of marriage.
Can anyone help in this question as HDB does not give enough notice of when you can collect the keys. And if you need to produce the cert , there will not be enough time to do everything."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Gixxerfied,https://forums.hardwarezone.com.sg/members/gixxerfied.314530/,Greater Supremacy Member,"Nov 25, 2017","cobragold said:
Hi,
For collecting the keys, you need to be married or can you produce the marriage cert within 3 months. In the old system you have a 3 months period before you have to give HDB proof of marriage.
Can anyone help in this question as HDB does not give enough notice of when you can collect the keys. And if you need to produce the cert , there will not be enough time to do everything.

You can just produce documentary proof like banquet receipt, rom confirmation date etc etc and submit to hdb so that u can get the keys buy pass them the cert later on.. Can be up to 6 months or more"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,cobragold,https://forums.hardwarezone.com.sg/members/cobragold.224562/,Senior Member,"Nov 26, 2017","Gixxerfied said:
You can just produce documentary proof like banquet receipt, rom confirmation date etc etc and submit to hdb so that u can get the keys buy pass them the cert later on.. Can be up to 6 months or more

Thanks for the info."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,akimoto_emi,https://forums.hardwarezone.com.sg/members/akimoto_emi.383134/,Senior Member,"Dec 31, 2017",Actually for singles can we apply for the mature estate for bto ?
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,jarred1223,https://forums.hardwarezone.com.sg/members/jarred1223.262661/,Arch-Supremacy Member,"Feb 3, 2018","If we going to reject bto and go for resale, will we still be able to get housing and proximity grant? I understand hdb will bar us for 1 year but can we appeal for it? The resale flat we are looking at is below 60 years."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,jarred1223,https://forums.hardwarezone.com.sg/members/jarred1223.262661/,Arch-Supremacy Member,"Feb 7, 2018","LOLLIPOPPY said:
anyone knows when the cpf will be wiped out if taking hdb loan?

During signing of agreement or when flat is ready in X years time?

when collect key if i'm not wrong"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,jeslynsm,https://forums.hardwarezone.com.sg/members/jeslynsm.110170/,Junior Member,"Mar 7, 2018","Have You Heard About 1st Timer EC Privilege
Are You Aware Of Your 1st Timer EC Entitlement of up to $30K CPF Housing Grant
What is The HDB Scheme That is Applicable to You

PM Me Now to Unveil The Answers to Your 1st Timer Privilege"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Alphas,https://forums.hardwarezone.com.sg/members/alphas.173957/,High Supremacy Member,"Mar 16, 2018","For Singles apply for resales first time, there are proximity and first-time grant.

What about SHG, tiered to the income level, is it still available for resale? The HDB site seems to state that SHG applys to BTO only."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Endless09,https://forums.hardwarezone.com.sg/members/endless09.713731/,Junior Member,"Mar 21, 2018","Dear all,

I'm a first-timer who will be getting the SBF flat in coming May-18. I read about all the grants and it seem that AHG is the only one that I'm eligible for. Assuming that one party is not employed and the other party is working continuous for the past 12 months, with average monthly income $5K excluding bonus. (does AWS counted as part of the average monthly income?)

Can I assume that my Average Monthly Household Income for both parties is $5K divide by 2?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Endless09,https://forums.hardwarezone.com.sg/members/endless09.713731/,Junior Member,"Mar 23, 2018","Anyone has any advice on this?

Endless09 said:
Dear all,

I'm a first-timer who will be getting the SBF flat in coming May-18. I read about all the grants and it seem that AHG is the only one that I'm eligible for. Assuming that one party is not employed and the other party is working continuous for the past 12 months, with average monthly income $5K excluding bonus. (does AWS counted as part of the average monthly income?)

Can I assume that my Average Monthly Household Income for both parties is $5K divide by 2?
Click to expand..."
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Weeli85,https://forums.hardwarezone.com.sg/members/weeli85.705432/,Senior Member,"Mar 24, 2018","To apply AHG and SHG, mention need to 12 mths continually work before the flat selection, if I change job during the 12 mths period, will affect the grants?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Darriel,https://forums.hardwarezone.com.sg/members/darriel.719220/,Junior Member,"Apr 27, 2018","Hi there! I'm an interior designer! Do let me know if you guys needs any advise on renovation or designing!
Can WhatsApp me at 9082 7806!"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Darriel,https://forums.hardwarezone.com.sg/members/darriel.719220/,Junior Member,"Apr 27, 2018","Hi there! I'm an interior designer. Do let me know if you need any advise on renovation or designing!

You may WhatsApp me at 9082 7806(Darriel)"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Weeli85,https://forums.hardwarezone.com.sg/members/weeli85.705432/,Senior Member,"May 26, 2018","Normally grants approval take how long? If I urgent need the flat, will it take 4 weeks to get approved?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,junkai21,https://forums.hardwarezone.com.sg/members/junkai21.43345/,Arch-Supremacy Member,"Jun 5, 2018","Weeli85 said:
Normally grants approval take how long? If I urgent need the flat, will it take 4 weeks to get approved?

Mine took 1 month"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,talberry,https://forums.hardwarezone.com.sg/members/talberry.598139/,Junior Member,"Jun 6, 2018","If I am thinking of applying SHG, the HDB website asked me to submit my SHG application form online, but then I don't know which unit I may end up getting (cos got some of my choice units have been taken).
What should I do? Should I leave it blank and submit online?"
﻿HomeSeekers and HomeMakers,Info on Grants/Subsidies Available For First Timer,https://forums.hardwarezone.com.sg/threads/info-on-grants-subsidies-available-for-first-timer.2338414/,Lightning Sword,https://forums.hardwarezone.com.sg/members/lightning-sword.720794/,Junior Member,"Jun 7, 2018","junkai21 said:
Mine took 1 month

u mean that it took 1 month for both AHG & SHG to approved?"
